fill	x	y	key	clickSelects	showSelected1
#F8766D	67	7.4	1	May	May
#F8766D	72	8	2	May	May
#F8766D	74	12.6	3	May	May
#F8766D	62	11.5	4	May	May
#F8766D	66	14.9	6	May	May
#F8766D	65	8.6	7	May	May
#F8766D	59	13.8	8	May	May
#F8766D	61	20.1	9	May	May
#F8766D	74	6.9	11	May	May
#F8766D	69	9.7	12	May	May
#F8766D	66	9.2	13	May	May
#F8766D	68	10.9	14	May	May
#F8766D	58	13.2	15	May	May
#F8766D	64	11.5	16	May	May
#F8766D	66	12	17	May	May
#F8766D	57	18.4	18	May	May
#F8766D	68	11.5	19	May	May
#F8766D	62	9.7	20	May	May
#F8766D	59	9.7	21	May	May
#F8766D	73	16.6	22	May	May
#F8766D	61	9.7	23	May	May
#F8766D	61	12	24	May	May
#F8766D	67	12	28	May	May
#F8766D	81	14.9	29	May	May
#F8766D	79	5.7	30	May	May
#F8766D	76	7.4	31	May	May
#A3A500	82	9.7	38	Jun	Jun
#A3A500	90	13.8	40	Jun	Jun
#A3A500	87	11.5	41	Jun	Jun
#A3A500	82	8	44	Jun	Jun
#A3A500	77	14.9	47	Jun	Jun
#A3A500	72	20.7	48	Jun	Jun
#A3A500	65	9.2	49	Jun	Jun
#A3A500	73	11.5	50	Jun	Jun
#A3A500	76	10.3	51	Jun	Jun
#00BF7D	84	4.1	62	Jul	Jul
#00BF7D	85	9.2	63	Jul	Jul
#00BF7D	81	9.2	64	Jul	Jul
#00BF7D	83	4.6	66	Jul	Jul
#00BF7D	83	10.9	67	Jul	Jul
#00BF7D	88	5.1	68	Jul	Jul
#00BF7D	92	6.3	69	Jul	Jul
#00BF7D	92	5.7	70	Jul	Jul
#00BF7D	89	7.4	71	Jul	Jul
#00BF7D	73	14.3	73	Jul	Jul
#00BF7D	81	14.9	74	Jul	Jul
#00BF7D	80	14.3	76	Jul	Jul
#00BF7D	81	6.9	77	Jul	Jul
#00BF7D	82	10.3	78	Jul	Jul
#00BF7D	84	6.3	79	Jul	Jul
#00BF7D	87	5.1	80	Jul	Jul
#00BF7D	85	11.5	81	Jul	Jul
#00BF7D	74	6.9	82	Jul	Jul
#00BF7D	86	8.6	85	Jul	Jul
#00BF7D	85	8	86	Jul	Jul
#00BF7D	82	8.6	87	Jul	Jul
#00BF7D	86	12	88	Jul	Jul
#00BF7D	88	7.4	89	Jul	Jul
#00BF7D	86	7.4	90	Jul	Jul
#00BF7D	83	7.4	91	Jul	Jul
#00BF7D	81	9.2	92	Jul	Jul
#00B0F6	81	6.9	93	Aug	Aug
#00B0F6	81	13.8	94	Aug	Aug
#00B0F6	82	7.4	95	Aug	Aug
#00B0F6	86	6.9	96	Aug	Aug
#00B0F6	85	7.4	97	Aug	Aug
#00B0F6	87	4.6	98	Aug	Aug
#00B0F6	89	4	99	Aug	Aug
#00B0F6	90	10.3	100	Aug	Aug
#00B0F6	90	8	101	Aug	Aug
#00B0F6	86	11.5	104	Aug	Aug
#00B0F6	82	11.5	105	Aug	Aug
#00B0F6	80	9.7	106	Aug	Aug
#00B0F6	77	10.3	108	Aug	Aug
#00B0F6	79	6.3	109	Aug	Aug
#00B0F6	76	7.4	110	Aug	Aug
#00B0F6	78	10.9	111	Aug	Aug
#00B0F6	78	10.3	112	Aug	Aug
#00B0F6	77	15.5	113	Aug	Aug
#00B0F6	72	14.3	114	Aug	Aug
#00B0F6	79	9.7	116	Aug	Aug
#00B0F6	81	3.4	117	Aug	Aug
#00B0F6	86	8	118	Aug	Aug
#00B0F6	97	9.7	120	Aug	Aug
#00B0F6	94	2.3	121	Aug	Aug
#00B0F6	96	6.3	122	Aug	Aug
#00B0F6	94	6.3	123	Aug	Aug
#E76BF3	91	6.9	124	Sep	Sep
#E76BF3	92	5.1	125	Sep	Sep
#E76BF3	93	2.8	126	Sep	Sep
#E76BF3	93	4.6	127	Sep	Sep
#E76BF3	87	7.4	128	Sep	Sep
#E76BF3	84	15.5	129	Sep	Sep
#E76BF3	80	10.9	130	Sep	Sep
#E76BF3	78	10.3	131	Sep	Sep
#E76BF3	75	10.9	132	Sep	Sep
#E76BF3	73	9.7	133	Sep	Sep
#E76BF3	81	14.9	134	Sep	Sep
#E76BF3	76	15.5	135	Sep	Sep
#E76BF3	77	6.3	136	Sep	Sep
#E76BF3	71	10.9	137	Sep	Sep
#E76BF3	71	11.5	138	Sep	Sep
#E76BF3	78	6.9	139	Sep	Sep
#E76BF3	67	13.8	140	Sep	Sep
#E76BF3	76	10.3	141	Sep	Sep
#E76BF3	68	10.3	142	Sep	Sep
#E76BF3	82	8	143	Sep	Sep
#E76BF3	64	12.6	144	Sep	Sep
#E76BF3	71	9.2	145	Sep	Sep
#E76BF3	81	10.3	146	Sep	Sep
#E76BF3	69	10.3	147	Sep	Sep
#E76BF3	63	16.6	148	Sep	Sep
#E76BF3	70	6.9	149	Sep	Sep
#E76BF3	75	14.3	151	Sep	Sep
#E76BF3	76	8	152	Sep	Sep
#E76BF3	68	11.5	153	Sep	Sep
